               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05278,            0.024499,           0.0054743,             0.76393,             0.65132,              0.7198,              0.2737,            0.057126,             0.05746,           0.0054241,            0.006535,            0.006535,            0.006535
                  37,            0.050124,             0.02536,           0.0051165,             0.77037,             0.65218,             0.71887,             0.27172,            0.057193,            0.057238,           0.0054791,            0.006436,            0.006436,            0.006436
                  38,            0.050262,            0.024202,           0.0055416,             0.73895,             0.63386,             0.69967,             0.27591,            0.058124,            0.058244,           0.0060247,            0.006337,            0.006337,            0.006337
                  39,            0.049043,             0.02464,           0.0053008,             0.73193,             0.65238,             0.68485,              0.2649,            0.057077,            0.058463,           0.0062467,            0.006238,            0.006238,            0.006238
                  40,            0.049837,            0.025468,           0.0048697,             0.75872,             0.60582,              0.7007,             0.25808,            0.058013,            0.058274,           0.0060021,            0.006139,            0.006139,            0.006139
                  41,            0.048809,            0.023657,           0.0045691,             0.78385,             0.61347,             0.70628,             0.27019,            0.058051,             0.05766,           0.0058224,             0.00604,             0.00604,             0.00604
                  42,            0.050573,            0.024438,           0.0052665,             0.76925,              0.6867,             0.73951,             0.28567,            0.054894,            0.057906,           0.0058378,            0.005941,            0.005941,            0.005941
                  43,            0.049521,            0.024357,           0.0050046,             0.76278,              0.6271,             0.70864,             0.26181,            0.056617,             0.05779,           0.0059367,            0.005842,            0.005842,            0.005842
                  44,            0.048081,            0.024539,           0.0047722,             0.77489,             0.60857,             0.69437,             0.24061,            0.057697,             0.05841,           0.0059076,            0.005743,            0.005743,            0.005743
                  45,            0.046889,            0.024006,           0.0051118,             0.82768,             0.60176,              0.7167,             0.27017,            0.056148,            0.058883,           0.0057685,            0.005644,            0.005644,            0.005644
                  46,            0.047164,            0.024053,           0.0047196,             0.80107,              0.6258,             0.72603,             0.28614,             0.05455,            0.058496,           0.0056833,            0.005545,            0.005545,            0.005545
                  47,            0.044563,            0.024366,           0.0041696,             0.71208,             0.59995,             0.65624,             0.23599,            0.056266,             0.05786,           0.0052922,            0.005446,            0.005446,            0.005446
                  48,            0.047766,            0.024988,           0.0043168,             0.77811,             0.67353,             0.74419,             0.28818,            0.054335,            0.059934,           0.0051731,            0.005347,            0.005347,            0.005347
                  49,            0.046999,            0.023285,           0.0046433,             0.76572,             0.67512,             0.73714,             0.28127,            0.055546,            0.059331,           0.0052057,            0.005248,            0.005248,            0.005248
                  50,            0.044542,            0.024368,           0.0044436,             0.79858,             0.61675,             0.71018,             0.27947,            0.054337,            0.059248,           0.0052271,            0.005149,            0.005149,            0.005149
                  51,            0.045438,            0.024197,           0.0044415,             0.80261,             0.64388,             0.73127,             0.28388,            0.055721,            0.059458,           0.0050106,             0.00505,             0.00505,             0.00505
                  52,            0.045833,            0.023176,           0.0043979,             0.74751,             0.67726,             0.73172,             0.27268,            0.054135,            0.061281,            0.005086,            0.004951,            0.004951,            0.004951
                  53,            0.044479,            0.022592,           0.0041253,             0.73567,             0.59427,             0.67652,             0.24381,            0.056599,            0.059431,           0.0050553,            0.004852,            0.004852,            0.004852
                  54,            0.045723,            0.023393,           0.0036733,             0.78772,             0.67503,             0.75312,             0.31036,            0.053082,            0.059424,           0.0051979,            0.004753,            0.004753,            0.004753
                  55,            0.043881,            0.023713,           0.0040394,             0.77112,              0.6311,             0.72677,              0.2783,            0.055884,            0.059002,           0.0050907,            0.004654,            0.004654,            0.004654
